"scenario","year","variable","value","units","parameter_value"
"Ref_50",1910,"Tgav",0.222043314682949,"degC","ECS_2"
"Ref_50",1911,"Tgav",0.236162957704677,"degC","ECS_2"
"Ref_50",1912,"Tgav",0.227144309612113,"degC","ECS_2"
"Ref_50",1913,"Tgav",0.212249194797719,"degC","ECS_2"
"Ref_50",1914,"Tgav",0.221500891260153,"degC","ECS_2"
"Ref_50",1915,"Tgav",0.239626381766838,"degC","ECS_2"
"Ref_50",1916,"Tgav",0.256067300841102,"degC","ECS_2"
"Ref_50",1917,"Tgav",0.269488636754031,"degC","ECS_2"
"Ref_50",1918,"Tgav",0.280857774978375,"degC","ECS_2"
"Ref_50",1919,"Tgav",0.289877568012442,"degC","ECS_2"
"Ref_50",1920,"Tgav",0.290696736348367,"degC","ECS_2"
"Ref_50",1921,"Tgav",0.290935150206689,"degC","ECS_2"
"Ref_50",1922,"Tgav",0.299726737353166,"degC","ECS_2"
"Ref_50",1923,"Tgav",0.309350344613991,"degC","ECS_2"
"Ref_50",1924,"Tgav",0.316090801103211,"degC","ECS_2"
"Ref_50",1925,"Tgav",0.321898235797026,"degC","ECS_2"
"Ref_50",1926,"Tgav",0.327899997912064,"degC","ECS_2"
"Ref_50",1927,"Tgav",0.333218582680827,"degC","ECS_2"
"Ref_50",1928,"Tgav",0.334002626751904,"degC","ECS_2"
"Ref_50",1929,"Tgav",0.331373021726845,"degC","ECS_2"
"Ref_50",1930,"Tgav",0.332825631137531,"degC","ECS_2"
"Ref_50",1931,"Tgav",0.337498039857873,"degC","ECS_2"
"Ref_50",1932,"Tgav",0.339369497691672,"degC","ECS_2"
"Ref_50",1933,"Tgav",0.342251837443205,"degC","ECS_2"
"Ref_50",1934,"Tgav",0.348603960814029,"degC","ECS_2"
"Ref_50",1935,"Tgav",0.354857897928604,"degC","ECS_2"
"Ref_50",1936,"Tgav",0.36120909065807,"degC","ECS_2"
"Ref_50",1937,"Tgav",0.36671145071861,"degC","ECS_2"
"Ref_50",1938,"Tgav",0.370387805545632,"degC","ECS_2"
"Ref_50",1939,"Tgav",0.374165508624487,"degC","ECS_2"
"Ref_50",1940,"Tgav",0.379744574068209,"degC","ECS_2"
"Ref_50",1941,"Tgav",0.385992048809939,"degC","ECS_2"
"Ref_50",1942,"Tgav",0.390042333223465,"degC","ECS_2"
"Ref_50",1943,"Tgav",0.393828154471301,"degC","ECS_2"
"Ref_50",1944,"Tgav",0.399994139297791,"degC","ECS_2"
"Ref_50",1945,"Tgav",0.406910401902791,"degC","ECS_2"
"Ref_50",1946,"Tgav",0.413859577560507,"degC","ECS_2"
"Ref_50",1947,"Tgav",0.41952604442013,"degC","ECS_2"
"Ref_50",1948,"Tgav",0.42489934483933,"degC","ECS_2"
"Ref_50",1949,"Tgav",0.429778076304885,"degC","ECS_2"
"Ref_50",1950,"Tgav",0.434717115894865,"degC","ECS_2"
"Ref_50",1951,"Tgav",0.440532589434844,"degC","ECS_2"
"Ref_50",1952,"Tgav",0.446399468715047,"degC","ECS_2"
"Ref_50",1953,"Tgav",0.452175360613221,"degC","ECS_2"
"Ref_50",1954,"Tgav",0.45914467050175,"degC","ECS_2"
"Ref_50",1955,"Tgav",0.468549492968031,"degC","ECS_2"
"Ref_50",1956,"Tgav",0.479010020625946,"degC","ECS_2"
"Ref_50",1957,"Tgav",0.490127359594165,"degC","ECS_2"
