;SSP126 emissions
 ;https://www.rcmip.org/
 "Date","BC_emissions","C2F6_emissions","CCl4_emissions","CF4_emissions","CFC11_emissions","CFC113_emissions","CFC114_emissions","CFC115_emissions","CFC12_emissions","CH3Br_emissions","CH3CCl3_emissions","CH3Cl_emissions","CH4_emissions","CO_emissions","ffi_emissions","halon1211_emissions","halon1301_emissions","halon2402_emissions","HCFC141b_emissions","HCFC142b_emissions","HCFC22_emissions","HFC125_emissions","HFC134a_emissions","HFC143a_emissions","HFC227ea_emissions","HFC23_emissions","HFC245fa_emissions","HFC32_emissions","HFC4310_emissions","luc_emissions","N2O_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions","NMVOC_emissions"
"1799",2.20729216488394,0,0.024856862,0.010071964,0,0,0,0,0,104.99068,0,4270.6431,26.7064881693654,363.486046903874,0.205559111980813,0.0077232726,0,0,0,0,0,0,0,0,2.6075323e-06,0,0,0.00016800579,0,0.198200536609826,0.0684940553053397,4.05874904770389,16.0373427877956,0,1329.61841783844,61.4962301970686
"1800",2.21597405539367,0,0.024856862,0.010071225,0,0,0,0,0,104.95838,0,4268.9449,27.0563430777029,365.846636844107,0.209695348008371,0.0077232726,0,0,0,0,0,0,0,0,2.6425936e-06,0,0,0.00017195329,0,0.20184685562859,0.0697880630339779,4.04284821979884,16.2421416976914,0,1348.24391122694,62.0032091407313
"1801",2.21940168990087,0,0.024856862,0.010071225,0,0,0,0,0,105.01099,0,4271.7107,27.1248871815083,364.917068386481,0.213347900808072,0.0077232726,0,0,0,0,0,0,0,0,2.6800125e-06,0,0,0.00017617249,0,0.205560256415215,0.0711065174973627,4.09945292085618,16.0637332183204,0,1343.16658811715,61.6656477886345
"1802",2.20269266099551,0,0.024856862,0.010071225,0,0,0,0,0,104.99468,0,4270.8532,27.3397843155475,362.96270750694,0.219452623124873,0.0077232726,0,0,0,0,0,0,0,0,2.7155059e-06,0,0,0.00018016977,0,0.209341973081019,0.0724498805496445,3.98767195724051,16.0758236117733,0,1362.60085737798,61.3261565902245
"1803",2.18001582824322,0,0.024856862,0.010071225,0,0,0,0,0,105.0108,0,4271.7009,27.3204998542478,358.65077997506,0.221951913050732,0.0077232726,0,0,0,0,0,0,0,0,2.7519421e-06,0,0,0.00018427573,0,0.213193262441419,0.0738186227704434,3.94459722014796,15.8310308793259,0,1336.89187745268,60.4043418174605
"1804",2.19729808692907,0,0.024856862,0.010071225,0,0,0,0,0,105.0121,0,4271.7691,27.4647499735324,359.528695975631,0.226675202311416,0.0077232726,0,0,0,0,0,0,0,0,2.7879493e-06,0,0,0.00018833223,0,0.217115404433612,0.0752132236296939,4.04680132810436,15.676248110601,0,1344.84067981273,60.3647027490233
"1805",2.21504239814832,0,0.024856862,0.010071225,0,0,0,0,0,104.98963,0,4270.588,27.9507981978037,364.303704329983,0.230455603894809,0.0077232726,0,0,0,0,0,0,0,0,2.8232141e-06,0,0,0.00019230319,0,0.221109702541954,0.0766341716556028,4.01758034905369,16.0941547961942,0,1363.82745687759,61.3199114574693
"1806",2.22282258475612,0,0.024856862,0.010071225,0,0,0,0,0,104.98239,0,4270.2074,28.1343724468013,364.343229335741,0.234958040425446,0.0077232726,0,0,0,0,0,0,0,0,2.8589339e-06,0,0,0.00019632654,0,0.225177484231158,0.0780819646057802,4.05259115332792,15.9514431676928,0,1367.09510422491,61.2234496818829
"1807",2.23987198185746,0,0.024856862,0.010071225,0,0,0,0,0,104.99423,0,4270.8298,28.4586560272205,367.234932813752,0.239783899689758,0.0077232726,0,0,0,0,0,0,0,0,2.8952686e-06,0,0,0.00020042079,0,0.229320101387467,0.0795571096416043,4.08366659780066,16.1175640845187,0,1386.47800011568,61.7064691364527
"1808",2.31193648443435,0,0.024856862,0.010071225,0,0,0,0,0,104.95199,0,4268.6094,29.1852411681443,380.035272003442,0.243318092820048,0.0077232726,0,0,0,0,0,0,0,0,2.9298066e-06,0,0,0.00020430798,0,0.233538930767935,0.0810601235058794,4.25469323102649,16.7315468996311,0,1422.24381994612,64.0819597315563
"1809",2.26744264029356,0,0.024856862,0.010071225,0,0,0,0,0,104.979,0,4270.0292,29.128658126909,372.848685541282,0.24762314808744,0.0077232726,0,0,0,0,0,0,0,0,2.9666566e-06,0,0,0.0002084616,0,0.237835374457981,0.082591532703851,4.11850300083799,16.4401659936121,0,1399.85273052471,62.7100221287688
